"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm26917",463268.492843672,-0.308456268957269,0.0570914313716505,-5.40284700429558,6.55914030024079e-08,2.23769226569799e-05
"Gpr146",1838.53269743172,-0.337687991623203,0.0855456773607515,-3.94745827073355,7.89852795204546e-05,0.0119427623236821
"Gpr83",268.425882956995,-1.08141901594454,0.181323993396417,-5.96401499706825,2.46114135339436e-09,1.00835342998264e-06
"H2-Q10",690.907100803052,-0.565066444053547,0.121459001236262,-4.65232249814388,3.28217230494349e-06,0.000731348604299777
"H2-Q6",360.511632412964,-0.961560665099957,0.157102835894055,-6.12058120802098,9.32346514282007e-10,4.22919038496277e-07
"H2-Q7",1220.85624849897,-0.452856179202239,0.0956825579227093,-4.73290209870903,2.21332259442896e-06,0.000511116550397131
"Hemk1",4747.50218955404,-0.268288447451736,0.0664187099161349,-4.03935047504681,5.35994243709856e-05,0.00861729479665682
"Igfbp4",5190.5461238049,-0.60718180806414,0.0680295460042288,-8.92526620751514,4.44628565312558e-19,9.412045680058e-16
"Il24",918.975943791773,-1.01365584875876,0.126979121395358,-7.98285448520842,1.42987435477291e-15,1.51340284833089e-12
"Il9",1223.64181293631,-0.876268055743618,0.103274628959927,-8.4848337347562,2.16027393981953e-17,2.74376393096478e-14
"Irf8",5857.42152521165,-0.318179249915664,0.0648088158207853,-4.90950568816934,9.13062515841227e-07,0.000236669530891825
"Izumo1r",1177.64861458581,-0.774233939434212,0.0991694010816065,-7.8071857951133,5.84790320142938e-15,4.64213866008466e-12
"Jak3",9318.32287863136,-0.559773024328356,0.0716380552924953,-7.81390591973533,5.54424845538776e-15,4.64213866008466e-12
"Kdm5c",4732.68906635385,-0.50489774741456,0.0692291457168474,-7.29313849227075,3.02816524718906e-13,2.02424877918675e-10
"Kdm6a",1471.26035854381,-0.696619844203412,0.0961525605650858,-7.24494324549859,4.32620325332616e-13,2.74735537602478e-10
"Lbp",662.798787337914,-0.492568485165664,0.121145252013671,-4.06593305951503,4.78406674971138e-05,0.0079950568142216
"Lipe",1305.30731573602,-0.35572519915675,0.0932439522559645,-3.81499486615761,0.000136185764786565,0.0184010148782358
"Lta",9002.91947466133,-0.49556011819991,0.0632986959526067,-7.82891512600746,4.92097691636708e-15,4.46438055819845e-12
"Me2",8694.03803121508,-0.240628841352648,0.0618782511827474,-3.88874663962285,0.000100763238643424,0.0145431124319332
"Myb",604.924420507893,-0.571867619374691,0.125970526389067,-4.53969381384058,5.63359759126614e-06,0.00119253871677785
"Ncf1",2200.54579879174,-0.389584393369665,0.0796454084117443,-4.89148591411099,1.00077556922363e-06,0.000254217010094187
"Nos2",1124.03625298737,-0.47677978626116,0.120300983755847,-3.963224334298,7.39442368469802e-05,0.0113152500264277
"PISD",2822.36120229002,-0.493078720580024,0.0841239517806553,-5.86133568553314,4.59158688040498e-09,1.76720439297041e-06
"Pbdc1",1131.20682161013,-0.388877315881135,0.0987968938369292,-3.9361289690241,8.28064838535124e-05,0.0122293622258542
"Pcx",1078.12738024592,-0.416197405560859,0.0994840613398328,-4.18355865206536,2.86981005019972e-05,0.00520706534965524
"Pim1",6231.66015861586,-0.276655355708501,0.0664252163869432,-4.16491463267376,3.11469086442967e-05,0.00557178713649595
"Rcn1",354.691646395853,-0.705886025152896,0.15858959304204,-4.45102362401407,8.5461938557981e-06,0.00169601887753893
"Rdm1",419.202972889894,-0.74211357709361,0.148589652041149,-4.99438262960664,5.90242740053741e-07,0.000164085481994718
"Rgcc",4210.47269202625,-0.243262527485555,0.0676609998211257,-3.59531381635897,0.000324000777090025,0.0403444497041216
"Rnu3a",967.983882383622,-0.521413925537496,0.111163830528942,-4.69049980606545,2.72538487421161e-06,0.000618127022988601
