"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Glod4",1463.06576119768,-0.639754664224336,0.0895785981362998,-7.14182491727439,9.20998649282274e-13,5.31709265660644e-10
"Gm10801",16.4169333851739,6.06946340134495,1.60378765695867,3.78445573827069,0.000154045318725654,0.0205950483487845
"Gm23849",16.2154719411817,-4.30861341493769,1.05543713582972,-4.08230226952412,4.45917468644577e-05,0.0075514636923397
"Gm26316",134.261222944878,-1.02182202209845,0.256998447028496,-3.97598520112905,7.00884840813924e-05,0.0108560223941191
"Gm26917",463268.492843672,-0.308456268957269,0.0570914313716505,-5.40284700429558,6.55914030024079e-08,2.23769226569799e-05
"Gpr146",1838.53269743172,-0.337687991623203,0.0855456773607515,-3.94745827073355,7.89852795204546e-05,0.0119427623236821
"Gpr83",268.425882956995,-1.08141901594454,0.181323993396417,-5.96401499706825,2.46114135339436e-09,1.00835342998264e-06
"H2-Q10",690.907100803052,-0.565066444053547,0.121459001236262,-4.65232249814388,3.28217230494349e-06,0.000731348604299777
"H2-Q6",360.511632412964,-0.961560665099957,0.157102835894055,-6.12058120802098,9.32346514282007e-10,4.22919038496277e-07
"H2-Q7",1220.85624849897,-0.452856179202239,0.0956825579227093,-4.73290209870903,2.21332259442896e-06,0.000511116550397131
"Hemk1",4747.50218955404,-0.268288447451736,0.0664187099161349,-4.03935047504681,5.35994243709856e-05,0.00861729479665682
"Igf2bp3",420.834753963797,1.11253535303618,0.147910123471323,7.52169849450425,5.40691597416104e-14,3.81517998821219e-11
"Igfbp4",5190.5461238049,-0.60718180806414,0.0680295460042288,-8.92526620751514,4.44628565312558e-19,9.412045680058e-16
"Il17a",7247.55106303493,0.512885865098916,0.0665349202177416,7.70852153155742,1.27283648070421e-14,9.50958596554364e-12
"Il17f",33621.6683364473,0.368746381591507,0.0632726237449461,5.82789775050163,5.61299501502533e-09,2.09678381428931e-06
"Il2",612.548688682364,0.804530210340094,0.124056590752816,6.48518716706577,8.86216997380738e-11,4.1688304013825e-08
"Il24",918.975943791773,-1.01365584875876,0.126979121395358,-7.98285448520842,1.42987435477291e-15,1.51340284833089e-12
"Il7r",1256.03158427603,0.346006978796707,0.0966996269226139,3.57816249977476,0.000346018307599346,0.0426677526681485
"Il9",1223.64181293631,-0.876268055743618,0.103274628959927,-8.4848337347562,2.16027393981953e-17,2.74376393096478e-14
"Irf8",5857.42152521165,-0.318179249915664,0.0648088158207853,-4.90950568816934,9.13062515841227e-07,0.000236669530891825
"Itpripl2",417.990643122829,0.84885977356188,0.150906156620208,5.62508377771653,1.85417964469258e-08,6.5416487964557e-06
"Izumo1r",1177.64861458581,-0.774233939434212,0.0991694010816065,-7.8071857951133,5.84790320142938e-15,4.64213866008466e-12
"Jak3",9318.32287863136,-0.559773024328356,0.0716380552924953,-7.81390591973533,5.54424845538776e-15,4.64213866008466e-12
"Kcnq1ot1",872.174356603992,0.500949969263004,0.127793218129699,3.92000433665098,8.8547375243715e-05,0.01292689899966
"Kdm5c",4732.68906635385,-0.50489774741456,0.0692291457168474,-7.29313849227075,3.02816524718906e-13,2.02424877918675e-10
"Kdm5d",569.607495567758,12.6488969502767,1.44817745768359,8.73435564347829,2.4504898507852e-18,4.4462387992604e-15
