"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","ensembl"
"Gm36966",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,NA,NA
"Gm37153",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,NA,NA
"Gm37364",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,NA,NA
"Gm38047",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,NA,NA
"Gm38297",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,NA,NA
"Gm42646",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,NA,NA
"Gm42775",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,NA,NA
"Gm42972",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,NA,NA
"Gm43082",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,NA,NA
"Gm43599",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,NA,NA
"Gm44065",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,NA,NA
"Gm44069",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,NA,NA
"Gm44394",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,NA,NA
"Gm44447",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,NA,NA
"Gm5434",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"432649","ENSMUSG00000059301"
"Gm5602",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"434249",NA
"Gm6999",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"328448",NA
"Hmgcll1",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"208982","ENSMUSG00000007908"
"Hnf4a",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"15378","ENSMUSG00000017950"
"Khdc3",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"66991","ENSMUSG00000092622"
"Klra3",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"16634","ENSMUSG00000067591"
"Lamb1",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"16777","ENSMUSG00000002900"
"Larp6",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"67557","ENSMUSG00000034839"
"Mefv",0.525009389500352,2.56261016404816,4.13583547369318,0.619611244293483,0.535513762065422,NA,"54483","ENSMUSG00000022534"
